name,platform,release_date,meta_score,user_review
Blizzard Arcade Collection, PC,2021,79,#¡VALOR!
Spellbreak, PC,2020,79,81
Wasteland 3, PlayStation 4,2020,79,67
Angry Birds VR: Isle of Pigs, PC,2019,79,51
Alba: a Wildlife Adventure, PC,2020,79,81
Tom Clancy's The Division 2: Warlords of New York, PC,2020,79,9
Curse of the Dead Gods, PlayStation 4,2021,79,76
Moving Out, PC,2020,79,74
WRC 8 FIA World Rally Championship, PlayStation 4,2019,79,59
Druidstone: The Secret of the Menhir Forest, PC,2019,79,73
Olija, PlayStation 4,2021,78,#¡VALOR!
Othercide, PC,2020,78,67
Back 4 Blood, PC,2021,78,57
Cyber Shadow, PlayStation 4,2021,78,71
Descenders, PC,2019,78,68
Lost Ember, PC,2019,78,75
Axiom Verge 2, PC,2021,78,54
Golf Club: Wasteland, PC,2021,78,68
Indivisible, PC,2019,78,64
Adios, PC,2021,78,40
Shady Part of Me, PlayStation 4,2020,78,64
Budget Cuts, PlayStation 4,2020,78,#¡VALOR!
Borderlands 3, PlayStation 4,2019,78,59
Granblue Fantasy: Versus, PlayStation 4,2020,78,65
Dauntless, PC,2019,78,53
Werewolf: The Apocalypse - Heart of the Forest, PC,2020,78,48
SUPERHOT: MIND CONTROL DELETE, PC,2020,78,65
Mobile Suit Gundam: Extreme VS. MaxiBoost ON, PlayStation 4,2020,78,76
Curse of the Dead Gods, PC,2021,78,74
TOEM, PC,2021,78,#¡VALOR!
Ace Combat 7: Skies Unknown, PC,2019,78,70
The Room VR: A Dark Matter, PC,2020,78,75
Arcade Spirits, PC,2019,78,54
The Procession to Calvary, PC,2020,78,78
Blasphemous, PlayStation 4,2019,78,79
Lemnis Gate, PC,2021,78,#¡VALOR!
ALTDEUS: Beyond Chronos, PC,2020,78,88
Control: The Foundation, PlayStation 4,2020,78,61
Green Hell, PC,2019,78,80
Life is Strange 2: Episode 3 - Wastelands, PC,2019,78,61
Humankind, PC,2021,78,69
Remnant: From the Ashes, PC,2019,78,67
Shady Part of Me, PC,2020,78,63
Atelier Lulua: The Scion of Arland, PlayStation 4,2019,78,67
KUNAI, PC,2020,78,78
Virtua Fighter 5 Ultimate Showdown, PlayStation 4,2021,78,66
Vesper, PC,2021,78,69
Yakuza 4 Remastered, PlayStation 4,2019,78,75
What The Dub?!, PlayStation 4,2021,78,#¡VALOR!
Jupiter Hell, PC,2021,78,77
A Fisherman's Tale, PC,2019,78,50
Tropico 6, PC,2019,78,64
Remnant: From the Ashes - Subject 2923, PC,2020,78,52
Trials of Mana, PC,2020,78,77
The Legend of Heroes: Trails of Cold Steel II, PlayStation 4,2019,78,84
Shakedown Hawaii, PlayStation 4,2019,78,49
John Wick Hex, PlayStation 4,2020,78,58
The Textorcist: The Story of Ray Bibbia, PC,2019,78,67
Fury Unleashed, PlayStation 4,2020,78,66
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys, PlayStation 4,2019,78,70
The Sojourn, PC,2019,78,66
NBA 2K20, PlayStation 4,2019,78,14
Forager, PC,2019,78,76
Call of the Sea, PC,2020,78,77
Going Under, PC,2020,78,76
Hot Wheels Unleashed, PC,2021,78,83
Roguebook, PC,2021,78,46
Eastshade, PC,2019,78,79
EA SPORTS UFC 4, PlayStation 4,2020,78,15
In Sound Mind, PC,2021,78,77
Iratus: Lord of the Dead, PC,2020,78,74
Destiny 2: Shadowkeep, PC,2019,78,56
Atomicrops, PC,2020,78,75
Age of Wonders: Planetfall, PlayStation 4,2019,78,67
Plants vs. Zombies: Battle for Neighborville, PlayStation 4,2019,77,54
Vacation Simulator, PC,2019,77,57
WRC 8 FIA World Rally Championship, PC,2019,77,62
HARDCORE MECHA, PlayStation 4,2020,77,68
Battlefleet Gothic: Armada 2, PC,2019,77,75
Life is Strange 2: Episode 4 - Faith, PlayStation 4,2019,77,48
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back, PC,2019,77,85
Orcs Must Die! 3, PC,2021,77,65
Audica, PC,2019,77,#¡VALOR!
DOOM Eternal: The Ancient Gods Part Two, PC,2021,77,60
Lost in Random, PC,2021,77,72
Rebel Galaxy Outlaw, PC,2019,77,55
Narita Boy, PlayStation 4,2021,77,64
I Am Dead, PC,2020,77,58
Othercide, PlayStation 4,2020,77,70
Capcom Arcade Stadium, PlayStation 4,2021,77,#¡VALOR!
They Are Billions, PC,2019,77,69
Pillars of Eternity II: Deadfire, PlayStation 4,2020,77,49
Sakuna: Of Rice and Ruin, PlayStation 4,2020,77,79
Whispers of a Machine, PC,2019,77,75
Stellaris: Console Edition, PlayStation 4,2019,77,68
Kaze and the Wild Masks, PlayStation 4,2021,77,74
